Source,date,ECC,ACC,Convo
TW,29-12-2017,0,GTV Official,"Coklatfriends, jangan sedih malam minggu ini #DCDCMusikkita eps @rosemarysk8punk loh tonton ya Sabtu, 30 desember… https://t.co/edXIOd85L1"
TW,29-12-2017,0,GTV Official,"Coklatfriends, jangan sedih malam minggu ini #DCDCMusikkita eps @bottlesmoker loh, ayo tonton yaa Sabtu, 30 Desemb… https://t.co/KdV9rJwb4j"
TW,29-12-2017,2,GTV Official,Loe tau gak sih kalo @rosemarysk8punk yang menangin jingle Djarum Cokelat? Semoga ditahun 2018 Bottlesmoker yang me… https://t.co/sOB8JFrGcD
IG,29-12-2017,0,muhammad Andre Fauzi,@OfficialGTVID @ROSEMARYsk8punk @DjarumCoklat Tau
TW,29-12-2017,1,GTV Official,Apa Lagu favorit dari @bottlesmoker yg pengen bgt loe denger? Share yuk di https://t.co/M8chazRdjq #DCDCMusikkita… https://t.co/WPSzLuXZhS
TW,29-12-2017,0,Garpu Terus Jualin,#RepostSave @djarumcoklat with repostsaveapp ・・・ Sadar akan potensi musik yang ada di jalur… https://t.co/Qx4HmGAzJH
TW,29-12-2017,0,Super Music,"Kasih caption gambar berikut ini, paste text di handphone lo! #SuperMusiczID https://t.co/BA69w4mcsq"
TW,29-12-2017,9,Super Music,'Hardwired… To Self-Destruct' berhasil jadi album terlaris di 2017? KLIK di sini https://t.co/7jUd611PfO
TW,29-12-2017,5,Super Music,"Daripada melakukan hal negatif, luapkan kemarahan lo dengan bermusik. #IDARE #SUPERMUSICID https://t.co/b5OLDMLjKN"
TW,29-12-2017,2,Super Music,"Daripada melakukan hal negatif, luapkan kemarahan lo di musik. #IDARE #SUPERMUSICID https://t.co/OQHxVO7aeR"
TW,29-12-2017,0,Super Music,"Kolaborasi dengan merek fashion surfing ternama, @IggyPop luncurkan busana pantai https://t.co/gAcZlS2ctJ"
TW,29-12-2017,0,STANDAR SATU,Terima kasih Serang! Dan ini salah satu foto kiriman dari @derianptrharra_ 🙏🍻 . . . Marijuangkan! . . .… https://t.co/pEJsVCIfYP
TW,29-12-2017,1,Dropout Venue,"Side Stage Super Music ID Mobile Tron @ Banten Indie Clothing 2017, Alun-alun Kota Serang Banten. #SUPERMUSICID… https://t.co/7P5jseZkGE"
TW,29-12-2017,0,Valiant Kullo,Sampai jumpa nanti malam🙌. Drumernya lagi diare 📷: @arisandi.rian #skedulvaliantkullo #supermusicid… https://t.co/wvIYdOujqt
TW,31-12-2017,6,Super Music,Nggak mau hidup seperti rilisan yang buruk. Ciptakan hal yang istimewa! #SuperMusicID #IDARE https://t.co/XRQbBewcCX
TW,31-12-2017,4,Super Music,Main tebak-tebakan. Ada yang bisa jawab? #SuperMusicID https://t.co/MSed1mb8Eh
TW,31-12-2017,10,Super Music,"Fans setia @paramore , udah siap dengan kedatangan Hayley Williams Cs di Jakarta? https://t.co/Pq2So95txF"
TW,31-12-2017,0,Super Music,Tonton interview ekslusif Rekti Yoewono bersama @_devilelectric_ di Jakarta (14/12) https://t.co/EuoyWz3oDk
TW,31-12-2017,10,Super Music,Sang dewa gitar bangkit lagi! Legacy Recordings akan merilis album anumerta @JimiHendrix https://t.co/KtAGfLSm9c
TW,31-12-2017,1,Super Music,"Ganti vokalis, @thebandGHOST rilis album live perdana, 'Ceremony And Devotion' https://t.co/ZblhndyFHm"
TW,31-12-2017,0,Stevi Item,Happy New Year 2018 guys 🥂🎇🎆 📸 : @supermusic_id #fmcspeedsupply #supermusicid @ Aston Tanjung… https://t.co/jQ73rnnUDH
TW,31-12-2017,0,Kukuh Ivan Wirawan,Ujung tombak Barasuara @igamassardi dari kejauhan #barasuara #supermusicid https://t.co/RQ3kxhcUEH
TW,31-12-2017,0,Johnny Solinger,Saya sendiri Wkwk RT@SuperMusic_ID: Main tebak-tebakan. Ada yang bisa jawab? #SuperMusicID https://t.co/PWrRDJtqCW
TW,02-01-2018,1,Tresna Nurahma Dewi,@ozradiobandung @DjarumCoklat @capslockltd Dari Cipadung ke kebumen Dari Brastagi pake Pajero Di #OzRadioBandung ad… https://t.co/gHYokFKbtZ
IG,02-01-2018,1,Zihan fathurrahman,"@ozradiobandung @DjarumCoklat @capslockltd perang kemaren dimenangin sama lazio, orang keren dengerinnya #DCDCSubStereo"
TW,02-01-2018,0,AyuShi,Kemeriahan acara @djarumcoklat X rebeldirtbike menjelang pergantian tahun 2017 ke 2018… https://t.co/lGXb0ZaHCV
TW,02-01-2018,1,Tresna Nurahma Dewi,"@ozradiobandung @DjarumCoklat @capslockltd Si Elsa makan jambu kelutuk, Si Ayu masuk angin dikerok Dudung Malam sel… https://t.co/equOw39thG"
TW,02-01-2018,3,103.1 FM OZ RADIO,Buat pantun ttg #DCDCSubStereo Ada 300 rb buat 2 org &amp; 3 merch dari @DjarumCoklat dan 1 topi dari @capslockltd kir… https://t.co/HB5RvBxs5j
TW,02-01-2018,0,HUMANLABRATS,Jajaran 5 Album Cadas Terbai | Artikel Musik Indie https://t.co/gy1qRBwajM lewat @Djarumcoklat
TW,02-01-2018,2,DCDC,"DCDC SUBSTEREO diawal tahun 2018 akan mendatangkan Grup asal Bandung, @tomcatandjerry_ yang merupakan kelompok musi… https://t.co/0NfNobNSy2"
TW,02-01-2018,0,YUDI LESMANA,@ozradiobandung @DjarumCoklat @capslockltd Kalo Pilih Pahlawan Seh Pengennya Jadi Zorro Tapi Lebih Baik Pantengin R… https://t.co/a7ihgaDYcJ
TW,02-01-2018,2,YUDI LESMANA,@ozradiobandung @DjarumCoklat @capslockltd Makan Permen Sambil Lihat Pulau Borneo Yaudah Deh Hanya Acara Radio Yang… https://t.co/pnfGobxIqc
IG,02-01-2018,1,Zihan fathurrahman,"@ozradiobandung @DjarumCoklat @capslockltd perang kemaren di menangin si leo, orang keren ya cuma dengerin #DCDCSubStereo"
TW,02-01-2018,1,Tresna Nurahma Dewi,"@ozradiobandung @DjarumCoklat @capslockltd Makan bihun pake labu, Si Ayu mikirin Atreo Tahun baru biar gak kelabu… https://t.co/0dso5oHNCu"
TW,02-01-2018,0,DCDC,Bergoyang Diawal Tahun Bersama Kelompok Reggae Muda Bandung https://t.co/rcd0jeSjUr
TW,02-01-2018,1,DCDC,Kreasi Elastis Dari Reality Club https://t.co/4hweKBjwml
TW,02-01-2018,1,Tresna Nurahma Dewi,@ozradiobandung @DjarumCoklat @capslockltd Kue talam dibalut dadu Dibawanya sama burung maleo Setiap malam rabu bia… https://t.co/8w5UTfxhzf
IG,02-01-2018,0,Ginun,"@ozradiobandung @DjarumCoklat @capslockltd Eko patrio noelan bujur hansip, DCDC Substereo memang paling sip."
TW,02-01-2018,1,YUDI LESMANA,@ozradiobandung @DjarumCoklat @capslockltd Lihat TV Eh Ada Si Kece Rita Sugiarto Daripada Lihat TV Mending Denger #DCDCSubStereo
TW,02-01-2018,2,103.1 FM OZ RADIO,Waktunya ketemuan sama livenya @tomcatandjerry_ santai~ #DCDCSubStereo https://t.co/ZiXET5S1AB
TW,02-01-2018,2,103.1 FM OZ RADIO,Mantep nih ketemuan lagi sama livenya @tomcatandjerry_ #DCDCSubStereo https://t.co/JspGi8wndD
TW,02-01-2018,3,103.1 FM OZ RADIO,Sekut tahun baru semangat baru! @mvstekky &amp; @Denny_hsu udah siap nemenin kamu di #DCDCSubStereo sampe jam 11 nanti! https://t.co/Cg29kEqF4F
TW,02-01-2018,3,103.1 FM OZ RADIO,Hari ini kek biasa bakalan ada salah satu band reggae asal Kota Bandung @tomcatandjerry_ yang bakalan live dan inte… https://t.co/OUAnAMX1tx
TW,02-01-2018,11,Super Music,'The Big Four' nggak akan tampil sepanggung lagi? Simak penuturan Kerry King https://t.co/chmMIuN3CB
TW,02-01-2018,0,Super Music,Jeff '@Kasinobrothers' bocorin 3 aspek yang bikin kariernya melesat. Baca di #SuperNoize https://t.co/pYm2kfBP2w
TW,02-01-2018,7,Super Music,Alat-alat musik bersejarah milik @GreenDay siap dijual. Lo berminat? https://t.co/ClTOi0dQx7
TW,02-01-2018,1,Super Music,Bikin digital music production sendiri? Kenapa enggak? Tama 'Sigmun'/'Mooner kasih kita bocorannya di sini… https://t.co/GiLLNOWEF3
TW,02-01-2018,0,Super Music,"Kalau nama band cadas yang satu ini, pasti bisa jawab dong? #SuperMusicID #Anagram https://t.co/iGcHumlQ9U"
TW,02-01-2018,1,SenyawaMusikimiaBDG,Dan Bernyanyilah @musikimia feat. @askarockers . #latepost #rockadventure2016 #supermusicid… https://t.co/8rcsKZ68fi
TW,04-01-2018,0,DCDC,Sirati Dharma Telah Kembali Merilis Karya Lagi #DCDChotnews https://t.co/yXRswaBSsj
TW,04-01-2018,0,Izzwanto,Bersiap! Awal Tahun 2018 Capt | Berita Musik Indie https://t.co/FExoxkbwRj lewat @Djarumcoklat
TW,04-01-2018,0,MPG Band,Sisa event malam tahun baru di pameugpeuk acaranya @djarumcoklat rebeldirtbike ✌😊 • • • #reggae… https://t.co/bmk1AOJy82
TW,04-01-2018,4,DCDC,A Page About : Menangkap Kesinisan Otong Dalam Lirik Lagu Koil #DCDChighlight https://t.co/y1tLJmWizy
TW,04-01-2018,4,DCDC,"Sebelum album kelimanya lahir, trio pop Elektronik @Homogenicworld pergi liburan dan membuat sebuah karya yang baru… https://t.co/m0kve7dDqa"
TW,04-01-2018,0,Beny Juliansyah,Persembahan Pertama Yang Sang | Berita Musik Indie https://t.co/Az60HwrMCo lewat @Djarumcoklat
TW,04-01-2018,0,HUMANLABRATS,Death by Audio and Visual (A | Special Author https://t.co/X6Gf9BxU9a lewat @Djarumcoklat
TW,04-01-2018,9,DCDC,Bosen dengerin playlist yang itu itu aja? Andre gitaris Jeruji ngasih kalian rekomendasi lagu yang cocok buat diden… https://t.co/Z3AJw0BXcy
TW,04-01-2018,1,DCDC,"Simak tulisan Daniel Mardhany Deadsquad ""Death by Audio and Visual (A Place to Bury Strangers, Live in Jakarta)"" di… https://t.co/LHW8EvUD4q"
TW,04-01-2018,2,Super Music,"Proyek sampingan personel Killswitch Engage, @TimesofGrace sedang garap materi baru! https://t.co/xgffBmmpj1"
TW,04-01-2018,12,Super Music,#OnThisDay 2009: Robert Plan (@ledzeppelin ) dinobatkan sebagai 'Suara Terbaik di Jagat Rock' berdasarkan hasil pol… https://t.co/fcwkPNYxfP
TW,04-01-2018,2,Super Music,Tag temen lo untuk bangkitkan semangat hari ini! #IDARE #SUPERMUSICID #LemmyKilmister https://t.co/bmIqIh1tXs
TW,04-01-2018,3,Super Music,.@captainjackband kedatangan dua personel baru! Siapa aja mereka? Cari tahu di sini https://t.co/JEkNHF6G58
TW,04-01-2018,8,Super Music,Unit post-black metal @rekahruah berrbagi playlist lagu lintas genre favorit mereka. Dengerin di sini https://t.co/hMpkD18Blu
TW,06-01-2018,0,HUMANLABRATS,Legenda Musik Indonesia Yon K | Berita Musik Indie https://t.co/JL0ZKszbM8 lewat @Djarumcoklat
TW,06-01-2018,1,-nath thelions-,Intip yuks #temansinga nath the lions at @DjarumCoklat #MUSIKKITA @OfficialGTVID https://t.co/aLYNa8axM8 #yessaah
TW,06-01-2018,5,DCDC,Split Album Terbaik Selama 2017 https://t.co/Yh4rEawUKX
TW,06-01-2018,0,AyuShi,"Asik asik, play ah🤘💪 . . @djarumcoklat x rebeldirtbike dipameungpeuk kemaren meninggalkan kesan… https://t.co/ZnvAbT7taV"
