,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
57455,,squadlegendsampit,,2447,1395,','nan,'Group B bertanting malam ini Senin 30 april 2018 Pkl 18 : 00 wib . Squad NR 1 . Squad OWL . Squad Bubuhan solo  Pkl 19 : 30 wib . Squad BOM . Squad GOLD . Squad GLP .    sampitkarnaval2018  borneoautofest2018  cowolebihtau   respeknomorsatu  unitypitstopkotim salamsatuaspal  lebihberasaberasalebih sampitinfo  radarsampit infopalangkaraya infopky infokalteng redaksiborneonews infoseruyan infopangkalanbun infolamandau infosukamara infokatingan parjo_id sampithitz kopdargabbikersscooter kalteng borneo  unitypitstopkotim  ingga_music89 solagraciaproduction mentayascooterclub shaggydogjogja infoacarabikers squadlegendsampit ,30-04-18,,0.0,8.0,,,,,,,,Umild,,parjo_id,,,IG,
57456,,sumaryonoadnan,,2515,1172,','7612623041,' cowolebihtau ,27-08-18,,4.0,4.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57457,,sundaystages,,405,185,','6016637877,'  fishgod   slankdotcom  17 Maret 2018 Lapangan Makorem Cirebon  Foto Oleh:  mohammed.igbal  fotograficirebon   unitypitstop   cowolebihtau   respeknomersatu   unitypitstopCirebon  slankerscirebon  konserslank  repost_slankers  slank  slankers  slankersnusantara  slankerscirebon  sundaystages  ngeslankramerame  bandindonesia  ngeslnkdicirebon ,26-05-18,,0.0,8.0,,,,,,,,Umild,,,,,IG,
57458,,tarmizzi24,,4030,808,','4928069374,'Gk salah kan pengen ikut...!!!  unitypitstop   parjo  padang  umild  cowolebihtau  lpocommunity ,29-07-18,,1.0,7.0,,,,,,,,Umild,,unitypitstop,,,IG,
57459,,weiihanz,,4787,2832,','558814871,'  ud83d udd2e  ud83d udd2e  ud83d udc45  u2022  u2022  u2022  unitypitstop  parjo2018  unitypitstopxparjo  respeknomorsatu  rocketrockers  bismarockers  lfl  fff ,31-08-18,,4.0,4.0,,,,,,,,Umild,,,,,IG,
57460,,yan_giyan,,5064,2659,','2111484155,'Boyband - tipe x  cowolebihtau  tipexofficial ,13-08-18,,0.0,8.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57461,,yudaapratama18,,5145,812,','6611479931,' Kapan lagi bisa Nonton Konser Bertiga  ud83d ude02   umild  cowokumild  reggaemusic   lfl ,06-08-18,,4.0,4.0,,,,,,,,Umild,,,,,IG,
57462,,zam7566,,3141,809,','8196876071,'  respectnomorsatu  brobengkel 73  cumasekedarngastem   mylittlegarage ,21-08-18,,0.0,8.0,,,,,,,,Umild,,,,,IG,
57463,,ardinata_85,,4356,2293,','7108963674,' unitypitstop  cowoklebihtau  RespeknomorsatuðŸ’¨ðŸ ,05-08-18,,0.0,8.0,,,,,,,,Umild,,unitypitstop,,,IG,
57464,,biasa_ai,,5436,1049,','4230308518,' Kau takkan mengerti bagaimana bahagianya naik vespa sebelum kau mencobanya .    umild   respect   endanksoekamti   reggaeINbjb  raska   scooteristreggae ,05-08-18,,4.0,4.0,,,,,,,,Umild,,,,,IG,
57465,,maldia_nofryaldi,,3669,2035,','3568504346,' kotakdipadang  infosumbar  unitypitstop  cowoklebihtau ,05-08-18,,1.0,7.0,,,,,,,,Umild,,unitypitstop,,,IG,
57466,,yusufagatha__,,1728,2930,','8288124388,'Dasar kadap anu ai ðŸ˜‚  endanksoekamti   soekamtiday   whathefuck   unitypitstop   unitypitstopxparjo   cowolebihtau ,05-08-18,,0.0,8.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57467,,advokatelyas,,932,2220,','7614305786,'  unitypitstopkemayoran  cowolebihtau  respeknomersatu ,28-04-18,,0.0,7.0,,,,,,,,Umild,,,,,IG,
57468,,ahmadjooo,,4330,2573,','985062432,"'Haloo Tebo Jangan lupa Tanggal 11 agustus 2018 Lapangan Garuda tebo Catat hari dan tanggal nya ya, mari merapat...  unitypointtebo  cowoklebihtau  respectnosatu  umild   tebo ",10-08-18,,0.0,7.0,,,,,,,,Umild,,u mild,,,IG,
57469,,ajiwidjaya_,,1209,12813,','6850422000,'Alhamdulillah ya Allah.. dipercaya untuk membawakam event besar yang di kerjakan oleh orang - orang hebat.. Unitypitstop 2018  ribuan orang ikut menikmati acara sampai akhir lagu yang di bawakan oleh band legend  tipexofficial  Tks buat  cakraelang_batam untuk moment luar biasa.. semoga bs kembali mengisi panggung megah kalian... tq buat my partner  bebytelly yg cute nya dewa banget...  mcbatam  mckepri  unitypitstop  unitypitstopbatam  cowolebihtau  respectnomorsatu  fff  flf  followme ,06-08-18,,0.0,7.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57470,,anto_crickets,,638,955,','1671616594,"' Menurut gue RESPECT itu perlu, meskipun hasil belum maksimal   unitypointtebo  cowolebihtau  respectnomorsatu ",11-08-18,,2.0,5.0,,,,,,,,Umild,,,,,IG,
57471,,aprodeit,,2258,962,','8458811143,"'Kaos, kere hore scooter club palangkaraya 25 agustus 2018 ðŸ¤™ unitypitstop kalteng   anakmotorpalangkaraya    unitypitstop Kalteng ",19-08-18,,0.0,7.0,,,,,,,,Umild,,unitypitstop,,,IG,
